,Name,Brand,Model,Battery capacity (mAh),RAM (MB),Internal storage (GB),Rear camera,Front camera,Number of SIMs,4G/ LTE,Price
72,Huawei Y9 Prime 2019,Huawei,Y9 Prime 2019,4000,4000,128,16,16,2,Yes,14450
73,Huawei Nova 3i,Huawei,Nova 3i,3340,4000,128,16,24,2,Yes,21999
74,Vivo S1,Vivo,S1,4500,4000,128,16,32,2,No,14979
846,Infinix Note 5 Stylus,Infinix,Note 5 Stylus,4000,4000,64,16,16,1,No,15999
75,LG G7+ ThinQ,LG,G7+ ThinQ,3000,6000,128,16,8,2,Yes,37999
76,Honor View 10,Honor,View 10,3750,6000,128,16,13,2,Yes,15899
77,OnePlus 6T,OnePlus,6T,3700,6000,128,16,16,2,Yes,31999
78,Panasonic Eluga X1 Pro,Panasonic,Eluga X1 Pro,3000,6000,128,16,16,2,Yes,29999
79,Honor 10,Honor,10,3400,6000,128,16,24,2,Yes,16990
80,Huawei Nova 3,Huawei,Nova 3,3750,6000,128,16,24,2,Yes,15999
81,Oppo R17,Oppo,R17,3500,8000,128,16,25,1,No,17990
313,Infinix Zero 5 Pro,Infinix,Zero 5 Pro,4350,6000,128,12,16,2,Yes,15900
82,Coolpad Note 8,Coolpad,Note 8,4000,4000,64,16,8,1,No,7433
83,Lenovo Phab 2 Pro,Lenovo,Phab 2 Pro,4050,4000,64,16,8,1,Yes,22999
316,Infinix Note 5,Infinix,Note 5,4500,3000,32,12,16,2,Yes,5850
84,Asus ZenFone 3 (ZE552KL),Asus,ZenFone 3 (ZE552KL),3000,4000,64,16,8,2,Yes,14999
85,LG G7 ThinQ,LG,G7 ThinQ,3000,4000,64,16,8,2,No,35999
319,Infinix Zero 5,Infinix,Zero 5,4350,6000,64,12,16,2,Yes,12999
320,Meizu M6 Note,Meizu,M6 Note,4000,3000,16,12,16,2,Yes,14000
321,Meizu Pro 7,Meizu,Pro 7,3000,4000,64,12,16,2,No,28000
86,Asus ZenFone 4 Selfie Pro,Asus,ZenFone 4 Selfie Pro,3000,4000,64,16,12,2,Yes,25999
87,10.or G2,10.or,G2,5000,4000,64,16,12,2,Yes,7999
88,HTC U12 Life,HTC,U12 Life,3600,4000,64,16,13,2,No,12990
727,Infinix Hot S3X,Infinix,Hot S3X,4000,3000,32,13,16,2,Yes,10999
89,Vivo U20,Vivo,U20,5000,4000,64,16,16,2,Yes,10990
729,Gionee S11 Lite,Gionee,S11 Lite,3030,4000,32,13,16,2,Yes,6319
90,Realme 2 Pro,Realme,2 Pro,3500,4000,64,16,16,2,Yes,11770
91,Nokia 6.1 Plus,Nokia,6.1 Plus,3060,4000,64,16,16,2,Yes,8999
92,Honor Play,Honor,Play,3750,4000,64,16,16,2,Yes,18011
733,Gionee A1,Gionee,A1,4010,4000,64,13,16,2,Yes,9999
93,Honor 9i,Honor,9i,3340,4000,64,16,16,2,Yes,8999
